Index,shares,text,misinformation,source,revision
1,27,"O ministro da Ciência, Tecnologia, Inovações e Comunicações, Marcos Pontes, afirmou, nesta terça-feira (9), que foram iniciados os novos testes com o vermífugo nitazoxanida em pacientes que tenham sido infectados pelo novo coronavírus. A novidade é que a partir de agora pacientes assintomáticos também serão testados. Basta ter a confirmação do coronavírus. O primeiro protocolo de testes trabalha com pessoas com febre e início de pneumonia, com o chamado “vidro fosco” na tomografia do pulmão.
https://dunapress.org/2020/06/11/governo-jair-bolsonaro-atraves-do-mctic-inicia-segundo-protocolo-de-testes-clinicos-com-a-nitazoxanida/",0,https://www.gov.br/pt-br/noticias/educacao-e-pesquisa/2020/06/mctic-inicia-segundo-protocolo-de-testes-clinicos-com-a-nitazoxanida,
2,26,"Pesquisa com mais de 6.000 médicos em 30 países diz que hidroxicloroquina é o tratamento mais eficaz para coronavírus.

https://conexaopolitica.com.br/ultimas/pesquisa-com-mais-de-6-000-medicos-em-30-paises-diz-que-hidroxicloroquina-e-o-tratamento-mais-eficaz-para-coronavirus/amp/",1,https://www.aosfatos.org/noticias/e-falso-que-pesquisa-indica-tratamento-com-hidroxicloroquina-como-o-mais-eficaz-contra-covid-19/,
3,25,"É com muita alegria que comunico que mais um pedido nosso relacionado ao Coronavírus foi atendido! O Ministério da Educação decidiu adiantar a formatura dos estudantes de Medicina, Enfermagem e outros cursos da área da Saúde para atuarem nos hospitais no enfrentamento da Covid-19! São mais de 10 mil universitários jovens e corajosos que com certeza querem se juntar às equipes médicas que atuam na linha de frente do combate ao Coronavírus!
.
Obrigado, MEC! E eu continuo em contato com reitores de universidades e faculdades para conseguir mais apoio para essa importante iniciativa!

https://www.instagram.com/p/B-pnWueIqL2/?igshid=1je4qpnb5hczy",0,http://portal.mec.gov.br/component/content/article/212-noticias/educacao-superior-1690610854/87651-mec-autoriza-formatura-antecipada-de-estudantes-de-medicina-enfermagem-farmacia-e-fisioterapia?Itemid=164,
4,25,"Renda Brasil unificará vários programas sociais. O ministro da Economia, Paulo Guedes, anunciou que o governo federal criará um programa de renda mínima permanente, após a pandemia do novo coronavírus (covid-19), batizado de Renda Brasil. O ministro disse ainda que será criado um programa para geração de empregos formais, com a retomada do projeto Carteira Verde e Amarela. ...
https://dunapress.org/2020/06/09/governo-vai-criar-programa-de-renda-minima-apos-a-pandemia-diz-guedes/",0,https://agenciabrasil.ebc.com.br/politica/noticia/2020-06/governo-vai-criar-programa-de-renda-minima-apos-pandemia-diz-guedes,
5,24,"O Secretário-Geral da OTAN Jens Stoltenberg também ex Primeiro Ministro da Noruega 2000-2013 em seu pronunciamento sobre o lançamento do programa #NATO2030 - Fortalecendo a Aliança em um mundo cada vez mais competitivo deixa a seguinte mensagem: ""A aliança precisa e deve enfrentar a China!"", OTAN Vídeo: Hoje no mundo Militar...
https://dunapress.org/2020/06/11/50619/",0,,1
6,24,"“O que mais queremos é voltar à normalidade, e o País retornar ao caminho da prosperidade”, disse Bolsonaro. O presidente da República, Jair Bolsonaro, comandou, nesta terça-feira (9), a 34a Reunião do Conselho de Governo, no Palácio da Alvorada, para tratar das medidas adotadas pelo governo durante a pandemia do novo coronavírus. Ao abrir a reunião, o presidente lamentou as mortes provocadas pela doença no País e disse esperar que logo o Brasil possa retomar a normalidade...
https://dunapress.org/2020/06/09/presidente-jair-bolsonaro-reune-ministros-para-tratar-de-acoes-durante-pandemia/",0,,
7,24,"As informações são repassadas pelas Secretarias Estaduais de Saúde e consolidadas pelo Ministério da Saúde. Ministério da Saúde checa os dados e consolida todas as informações, que são publicadas nos sistemas oficiais e plataformas. O Brasil registrou, na terça-feira (9), o total de 311.064 casos de pessoas curadas do novo coronavírus (Covid-19). As informações foram atualizadas às 18h45, e repassadas pelas Secretarias Estaduais de Saúde de todo o País...
https://dunapress.org/2020/06/11/brasil-tem-mais-de-311-mil-pessoas-recuperadas-do-coronavirus/",0,,1
8,24,"Projeto foi um dos seis primeiros selecionados em edital lançado pelo Pipe-Fapesp, para apoiar pesquisas sobre inovações. Pesquisadores da Biolinker – uma startup de biotecnologia (biotech) incubada no Centro de Inovação, Empreendedorismo e Tecnologia (Cietec) – estão desenvolvendo, com apoio do Programa Fapesp Pesquisa Inovativa em Pequenas Empresas (Pipe), um teste de diagnóstico da COVID-19 (doença causada pelo novo coronavírus) de baixo custo e alto desempenho, com insumos totalmente nacionais.
https://dunapress.org/2020/06/11/covid-19-startup-busca-desenvolver-teste-de-diagnostico-totalmente-nacional/",0,,
9,24,"China força países atingidos por vírus chinês a se ajoelharem diante da Huawei: “Nós lhe daremos máscaras se aceitar a Huawei 5G”

https://conexaopolitica.com.br/ultimas/china-forca-paises-atingidos-por-virus-chines-a-se-ajoelharem-diante-da-huawei-nos-lhe-daremos-mascaras-se-aceitar-a-huawei-5g/",1,,1
10,24,"O presidente da República, Jair Bolsonaro, participou, nesta sexta-feira (5), da inauguração do primeiro hospital de campanha construído pelo Governo Federal para atender pacientes com Covid-19. A unidade fica em Águas Lindas de Goiás (GO).  O hospital será mantido pelo governo de Goiás, que custeará insumos e equipe, e vai atender a demanda de pelo menos sete municípios goianos localizados na região chamada de entorno do Distrito Federal, com população estimada de 1,2 milhão de habitantes...
https://dunapress.org/2020/06/10/presidente-jair-bolsonaro-participou-da-inauguracao-de-hospital-de-campanha-em-goias-para-pacientes-com-covid-19/",0,,
11,24,"Parte dos recursos será destinada à Fiocruz, para ampliar sua a capacidade de oferecer testes diagnósticos e de produzir medicamentos. Presidente sancionou lei que abre crédito complementar com reforço orçamentário às ações de combate ao coronavírus. O presidente da República, Jair Bolsonaro, sancionou, a lei que abre crédito suplementar ao Orçamento da União de R$ 343,6 bilhões, para quitar despesas correntes por meio de endividamento em títulos públicos...
https://dunapress.org/2020/06/10/presidente-jair-bolsonaro-sanciona-credito-suplementar-de-r-3436-bilhoes/",0,,
12,24,"As chances de reeleição do líder americano são cada dia mais fortes, para China essa seria uma notícia catastrófica. A vitória eleitoral de Donald Trump como presidente dos EUA há quatro anos deve-se em por diversos fatores e grande parte pela política internacional catastrófica de presidentes anteriores que levaram o poderoso gigante norte americano a posições delicadas. Um dos elementos foi a atração dos eleitores a Trump como um ""homem contra o globalismo comunista"", comparado ao ""sistema"" personificado por Hillary Clinton, esposa de um ex-presidente e ligada a muitos interesses obscuros, A eleição de Trump também foi um tapa na cara da NON...
https://dunapress.org/2020/06/09/reeleicao-de-donal-trump-pode-colocar-em-apuros-os-planos-de-dominacao-chinesa/",0,,1
13,23,"Parnaíba/PI - A Polícia Federal entregou na sexta-feira (3/4) ao Abrigo de Idosos São José, em Parnaíba/PI, os donativos arrecadados em coleta solidária empreendida pelos servidores policiais e administrativos da unidade. Foram arrecadados materiais de limpeza e higiene pessoal, destinados ao asseio da Entidade e dos idosos internos. A Campanha ""PF Solidária"" foi instituída em caráter permanente e tem como objetivo primordial amparar grupos vulneráveis, em especial entidades filantrópicas e de caráter humanitário atingidas pela escassez de recursos no período emergencial da pandemia ocasionada pelo COVID 19. Comunicação Social da Polícia Federal no Piauí Fonte: Portal de Imprensa da Policia Federal... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/04/pf-entrega-donativos-a-abrigo-de-idosos-em-parnaiba-pi/",0,,
14,23,"Texto visa garantir segurança para trabalhadores durante a pandemia do coronavírus Em decorrência da pandemia do coronavírus (Covid-19), a Presidência da República editou, neste sábado (4), a Medida Provisória 945/20, com foco no setor portuário. A MP, que visa garantir um ambiente mais seguro para os trabalhadores dos portos brasileiros, foi publicada no Diário Oficial da União e tem validade por 120 dias... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/05/governo-federal-edita-mp-com-medidas-para-o-setor-portuario/",0,,
15,23,"Garanhus (PE) – No dia 23 de março, o 71o Batalhão de Infantaria Motorizado, braço do Comando Conjunto Nordeste na cidade de Garanhus, recebeu a visita de uma equipe técnica da Secretaria Municipal de Saúde daquele município. Na ocasião, foram tratados assuntos relativos à pandemia da COVID-19 e suas repercussões no município. Durante a reunião, foi planejado como se daria o apoio logístico (cessão de barracas) para a Campanha de Vacinação contra o influenza... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/04/reuniao-define-estrategias-de-atuacao-contra-a-covid-19-em-garanhuns-pe/",0,,
16,23,"Para combater a violência familiar e doméstica durante a pandemia do novo coronavírus (Covid-19), o Ministério da Mulher, da Família e dos Direitos Humanos (MMFDH) está tomando medidas emergenciais. A mais recente delas é o lançamento, nesta quinta-feira (2), de plataformas digitais dos canais de atendimento da Ouvidoria Nacional de Direitos Humanos (ONDH). Com a novidade, a Ouvidoria Nacional de Direitos Humanos (ONDH) amplia o alcance dos serviços do Disque 100 e do Ligue 180 para o meio digital com o lançamento do aplicativo Direitos Humanos Brasil e de portal exclusivo... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/05/governo-lanca-aplicativo-para-fortalecer-o-enfrentamento-a-violencia-domestica/",0,,
